序号,起始SOC(%),结束SOC(%),SOC增量(%),预测时长(分钟),预测时长(小时)
1,0,1,1,7.94,0.132
2,0,2,2,7.94,0.132
3,0,3,3,7.94,0.132
4,0,4,4,7.94,0.132
5,0,5,5,7.94,0.132
6,0,6,6,7.94,0.132
7,0,7,7,7.94,0.132
8,0,8,8,7.8,0.13
9,0,9,9,7.8,0.13
10,0,10,10,7.8,0.13
11,0,11,11,7.8,0.13
12,0,12,12,7.8,0.13
13,0,13,13,13.88,0.231
14,0,14,14,13.88,0.231
15,0,15,15,13.88,0.231
16,0,16,16,13.88,0.231
17,0,17,17,13.88,0.231
18,0,18,18,18.05,0.301
19,0,19,19,18.05,0.301
20,0,20,20,18.05,0.301
21,0,21,21,18.05,0.301
22,0,22,22,18.05,0.301
23,0,23,23,18.14,0.302
24,0,24,24,18.14,0.302
25,0,25,25,18.14,0.302
26,0,26,26,18.14,0.302
27,0,27,27,18.14,0.302
28,0,28,28,20.86,0.348
29,0,29,29,20.86,0.348
30,0,30,30,20.86,0.348
31,0,31,31,20.86,0.348
32,0,32,32,20.86,0.348
33,0,33,33,30.99,0.517
34,0,34,34,30.99,0.517
35,0,35,35,30.99,0.517
36,0,36,36,30.99,0.517
37,0,37,37,30.99,0.517
38,0,38,38,33.35,0.556
39,0,39,39,33.35,0.556
40,0,40,40,33.35,0.556
41,0,41,41,33.35,0.556
42,0,42,42,33.35,0.556
43,0,43,43,37.04,0.617
44,0,44,44,37.04,0.617
45,0,45,45,37.04,0.617
46,0,46,46,37.04,0.617
47,0,47,47,37.04,0.617
48,0,48,48,40.93,0.682
49,0,49,49,40.93,0.682
50,0,50,50,40.93,0.682
51,0,51,51,40.93,0.682
52,0,52,52,40.93,0.682
53,0,53,53,42.12,0.702
54,0,54,54,42.12,0.702
55,0,55,55,42.12,0.702
56,0,56,56,42.12,0.702
57,0,57,57,42.12,0.702
58,0,58,58,42.04,0.701
59,0,59,59,42.04,0.701
60,0,60,60,42.04,0.701
61,0,61,61,42.04,0.701
62,0,62,62,42.04,0.701
63,0,63,63,45.49,0.758
64,0,64,64,45.49,0.758
